match_id,home_team,home_team_id,away_team,away_team_id,home_team_wins,away_team_wins,winning_team_id,losing_team_id,game_1_id,game_1_map,game_1_gametype,game_1_lang,game_1_home_score,game_1_away_score,game_1_winning_team,game_1_losing_team,game_2_id,game_2_map,game_2_gametype,game_2_lang,game_2_home_score,game_2_away_score,game_2_winning_team,game_2_losing_team,game_3_id,game_3_map,game_3_gametype,game_3_lang,game_3_home_score,game_3_away_score,game_3_winning_team,game_3_losing_team,game_4_id,game_4_map,game_4_gametype,game_4_lang,game_4_home_score,game_4_away_score,game_4_winning_team,game_4_losing_team,game_5_id,game_5_map,game_5_gametype,game_5_lang,game_5_home_score,game_5_away_score,game_5_winning_team,game_5_losing_team
3647,OpTic Gaming Los Angeles,14,Florida Mutineers,9,2,3,9,14,0,Rammaza,Hardpoint,en-us,177,250,9,14,1,Gun Runner,Search and Destroy,en-us,6,4,14,9,2,St. Petrograd,Domination,en-us,120,183,9,14,3,St. Petrograd,Hardpoint,en-us,250,187,14,9,4,Piccadilly,Search and Destroy,en-us,5,6,9,14
3653,Dallas Empire,6,New York Subliners,13,3,0,6,13,0,Gun Runner,Hardpoint,en-us,250,219,6,13,1,Arklov Peak,Search and Destroy,en-us,6,4,6,13,2,Gun Runner,Domination,en-us,155,130,6,13,3,Rammaza,Hardpoint,en-us,0,0,0,0,4,Piccadilly,Search and Destroy,en-us,0,0,0,0
3648,London Royal Ravens,10,Florida Mutineers,9,3,2,10,9,0,Azhir Cave,Hardpoint,en-us,129,250,9,10,1,Piccadilly,Search and Destroy,en-us,3,6,9,10,2,St. Petrograd,Domination,en-us,163,157,10,9,3,Gun Runner,Hardpoint,en-us,250,207,10,9,4,Arklov Peak,Search and Destroy,en-us,6,4,10,9
3654,Paris Legion,15,Los Angeles Guerrillas,11,3,1,15,11,0,Rammaza,Hardpoint,en-us,226,250,11,15,1,Arklov Peak,Search and Destroy,en-us,6,0,15,11,2,St. Petrograd,Domination,en-us,197,124,15,11,3,St. Petrograd,Hardpoint,en-us,250,243,15,11,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3649,Seattle Surge,16,OpTic Gaming Los Angeles,14,1,3,14,16,0,Gun Runner,Hardpoint,en-us,223,250,14,16,1,St. Petrograd,Search and Destroy,en-us,1,6,14,16,2,Hackney Yard,Domination,en-us,173,149,16,14,3,Hackney Yard,Hardpoint,en-us,140,250,14,16,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3655,New York Subliners,13,Paris Legion,15,0,3,15,13,0,Rammaza,Hardpoint,en-us,242,250,15,13,1,St. Petrograd,Search and Destroy,en-us,2,6,15,13,2,Gun Runner,Domination,en-us,137,170,15,13,3,Hackney Yard,Hardpoint,en-us,0,0,0,0,4,Arklov Peak,Search and Destroy,en-us,0,0,0,0
3650,Florida Mutineers,9,OpTic Gaming Los Angeles,14,3,1,9,14,0,Rammaza,Hardpoint,en-us,239,250,14,9,1,Gun Runner,Search and Destroy,en-us,6,3,9,14,2,Hackney Yard,Domination,en-us,157,154,9,14,3,Azhir Cave,Hardpoint,en-us,250,159,9,14,4,Piccadilly,Search and Destroy,en-us,0,0,0,0
3656,London Royal Ravens,10,Paris Legion,15,2,3,15,10,0,Gun Runner,Hardpoint,en-us,250,203,10,15,1,Arklov Peak,Search and Destroy,en-us,5,6,15,10,2,St. Petrograd,Domination,en-us,179,131,10,15,3,Hackney Yard,Hardpoint,en-us,173,250,15,10,4,Gun Runner,Search and Destroy,en-us,5,6,15,10
3657,Dallas Empire,6,Florida Mutineers,9,3,0,6,9,0,Gun Runner,Hardpoint,en-us,250,164,6,9,1,Piccadilly,Search and Destroy,en-us,6,1,6,9,2,Hackney Yard,Domination,en-us,176,152,6,9,3,Rammaza,Hardpoint,en-us,0,0,0,0,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3658,Paris Legion,15,Dallas Empire,6,0,3,6,15,0,Hackney Yard,Hardpoint,en-us,145,250,6,15,1,Gun Runner,Search and Destroy,en-us,1,6,6,15,2,Gun Runner,Domination,en-us,134,167,6,15,3,Rammaza,Hardpoint,en-us,0,0,0,0,4,Arklov Peak,Search and Destroy,en-us,0,0,0,0
3638,Atlanta FaZe,7,Minnesota Røkkr,12,3,0,7,12,0,Rammaza,Hardpoint,en-us,250,237,7,12,1,Gun Runner,Search and Destroy,en-us,6,1,7,12,2,Gun Runner,Domination,en-us,173,158,7,12,3,St. Petrograd,Hardpoint,en-us,0,0,0,0,4,Rammaza,Search and Destroy,en-us,0,0,0,0
3639,Florida Mutineers,9,Dallas Empire,6,2,3,6,9,0,Gun Runner,Hardpoint,en-us,250,127,9,6,1,Arklov Peak,Search and Destroy,en-us,6,1,9,6,2,Hackney Yard,Domination,en-us,154,159,6,9,3,Rammaza,Hardpoint,en-us,215,250,6,9,4,St. Petrograd,Search and Destroy,en-us,4,6,6,9
3633,Chicago Huntsmen,8,Seattle Surge,16,3,1,8,16,0,Gun Runner,Hardpoint,en-us,201,250,16,8,1,Gun Runner,Search and Destroy,en-us,6,5,8,16,2,Hackney Yard,Domination,en-us,170,139,8,16,3,St. Petrograd,Hardpoint,en-us,250,203,8,16,4,St. Petrograd,Search and Destroy,en-us,0,0,0,0
3634,Toronto Ultra,17,OpTic Gaming Los Angeles,14,3,2,17,14,0,Rammaza,Hardpoint,en-us,250,182,17,14,1,Piccadilly,Search and Destroy,en-us,6,4,17,14,2,Hackney Yard,Domination,en-us,148,158,14,17,3,Hackney Yard,Hardpoint,en-us,208,250,14,17,4,St. Petrograd,Search and Destroy,en-us,6,4,17,14
3640,Atlanta FaZe,7,Dallas Empire,6,3,0,7,6,0,Gun Runner,Hardpoint,en-us,250,219,7,6,1,Gun Runner,Search and Destroy,en-us,6,5,7,6,2,Gun Runner,Domination,en-us,160,155,7,6,3,St. Petrograd,Hardpoint,en-us,0,0,0,0,4,Piccadilly,Search and Destroy,en-us,0,0,0,0
3635,Chicago Huntsmen,8,Toronto Ultra,17,2,3,17,8,0,Rammaza,Hardpoint,en-us,250,228,8,17,1,Gun Runner,Search and Destroy,en-us,6,5,8,17,2,Hackney Yard,Domination,en-us,157,161,17,8,3,St. Petrograd,Hardpoint,en-us,58,250,17,8,4,Piccadilly,Search and Destroy,en-us,4,6,17,8
3641,Minnesota Røkkr,12,Florida Mutineers,9,1,3,9,12,0,Azhir Cave,Hardpoint,en-us,250,244,12,9,1,Rammaza,Search and Destroy,en-us,3,6,9,12,2,Hackney Yard,Domination,en-us,132,186,9,12,3,Rammaza,Hardpoint,en-us,226,250,9,12,4,Arklov Peak,Search and Destroy,en-us,0,0,0,0
3636,Seattle Surge,16,OpTic Gaming Los Angeles,14,0,3,14,16,0,Gun Runner,Hardpoint,en-us,232,250,14,16,1,Gun Runner,Search and Destroy,en-us,3,6,14,16,2,Hackney Yard,Domination,en-us,145,160,14,16,3,Rammaza,Hardpoint,en-us,0,0,0,0,4,St. Petrograd,Search and Destroy,en-us,0,0,0,0
3642,Dallas Empire,6,Florida Mutineers,9,3,0,6,9,0,Gun Runner,Hardpoint,en-us,250,211,6,9,1,Gun Runner,Search and Destroy,en-us,6,5,6,9,2,Hackney Yard,Domination,en-us,164,142,6,9,3,Rammaza,Hardpoint,en-us,0,0,0,0,4,Arklov Peak,Search and Destroy,en-us,0,0,0,0
3637,Chicago Huntsmen,8,OpTic Gaming Los Angeles,14,1,3,14,8,0,Azhir Cave,Hardpoint,en-us,250,233,8,14,1,Rammaza,Search and Destroy,en-us,5,6,14,8,2,Hackney Yard,Domination,en-us,141,168,14,8,3,Hackney Yard,Hardpoint,en-us,218,250,14,8,4,Gun Runner,Search and Destroy,en-us,0,0,0,0
3643,Dallas Empire,6,Toronto Ultra,17,1,3,17,6,0,Gun Runner,Hardpoint,en-us,247,250,17,6,1,St. Petrograd,Search and Destroy,en-us,5,6,17,6,2,Hackney Yard,Domination,en-us,196,123,6,17,3,St. Petrograd,Hardpoint,en-us,244,250,17,6,4,Piccadilly,Search and Destroy,en-us,0,0,0,0
3644,Atlanta FaZe,7,OpTic Gaming Los Angeles,14,3,0,7,14,0,St. Petrograd,Hardpoint,en-us,250,207,7,14,1,St. Petrograd,Search and Destroy,en-us,6,1,7,14,2,St. Petrograd,Domination,en-us,153,135,7,14,3,Hackney Yard,Hardpoint,en-us,0,0,0,0,4,Arklov Peak,Search and Destroy,en-us,0,0,0,0
3645,Toronto Ultra,17,Atlanta FaZe,7,3,2,17,7,0,Gun Runner,Hardpoint,en-us,250,247,17,7,1,Arklov Peak,Search and Destroy,en-us,0,6,7,17,2,Gun Runner,Domination,en-us,165,157,17,7,3,St. Petrograd,Hardpoint,en-us,143,250,7,17,4,St. Petrograd,Search and Destroy,en-us,6,5,17,7
